,,,,,,,
ALL DIVISIONS ,,,,,,,
Middle School Round 1 Max Score=200,,,Open and All Service Round 1 Max Score = 330,,,,
Middle School Round 2 Max Score = 300,,,Open and Al Service Round 2 Max Score = 330,,,,
Middle School Round 1 and 2 Max Score = 500,,,Open and All Service Round and Round 2  Max Score = 660,,,,
,,,,,,,
Team #,Division / Category,Location,Round 1 Score,Round 2  Network Security (Images),Round 2 Cisco Networking ,Cumulative Score,Tier
12-5023,Air Force JROTC,VA,228.67,166.00,3.00,397.67,Gold
12-0082,Air Force JROTC,LA,210.53,167.00,19.80,397.33,Gold
12-0920,Air Force JROTC,CA,222.93,158.00,16.20,397.13,Gold
12-6282,Air Force JROTC,IL,233.00,160.00,4.00,397.00,Gold
12-6918,Air Force JROTC,IL,194.00,182.00,20.00,396.00,Gold
12-5471,Air Force JROTC,NV,216.00,173.00,6.00,395.00,Gold
12-5933,Air Force JROTC,GA,214.47,159.00,20.60,394.07,Gold
12-2946,Air Force JROTC,TX,203.67,184.00,5.60,393.27,Gold
12-2950,Air Force JROTC,TX,225.67,161.00,4.00,390.67,Gold
12-2948,Air Force JROTC,TX,220.87,154.00,15.20,390.07,Gold
12-2712,Air Force JROTC,TX,215.00,164.00,9.60,388.60,Gold
12-3691,Air Force JROTC,TX,168.80,201.00,16.60,386.40,Gold
12-0632,Air Force JROTC,WV,205.93,162.00,16.80,384.73,Gold
12-0996,Air Force JROTC,SC,230.47,147.00,6.00,383.47,Gold
12-4705,Air Force JROTC,FL,222.00,154.00,5.00,381.00,Gold
12-5013,Air Force JROTC,TX,234.00,145.00,0.00,379.00,Gold
12-0308,Air Force JROTC,AZ,215.00,164.00,0.00,379.00,Gold
12-5359,Air Force JROTC,LA,238.07,128.00,12.80,378.87,Gold
12-4689,Air Force JROTC,CA,211.67,166.00,1.00,378.67,Gold
12-5046,Air Force JROTC,VA,218.60,143.00,16.40,378.00,Gold
12-0081,Air Force JROTC,LA,229.40,132.00,16.40,377.80,Gold
12-4464,Air Force JROTC,MN,188.60,181.00,6.40,376.00,Gold
12-7140,Air Force JROTC,TX,202.33,171.00,0.00,373.33,Gold
12-1493,Air Force JROTC,TX,189.80,178.00,5.40,373.20,Gold
12-3912,Air Force JROTC,FL,214.73,138.00,19.80,372.53,Gold
12-4848,Air Force JROTC,TX,214.33,154.00,4.00,372.33,Gold
12-2945,Air Force JROTC,TN,179.00,178.00,11.60,368.60,Gold
12-4688,Air Force JROTC,CA,201.00,162.00,3.00,366.00,Gold
12-4032,Air Force JROTC,PA,214.67,141.00,9.40,365.07,Gold
12-4282,Air Force JROTC,PA,206.47,152.00,5.20,363.67,Gold
12-4244,Air Force JROTC,CA,208.33,155.00,0.00,363.33,Gold
12-1297,Air Force JROTC,MO,176.93,177.00,9.20,363.13,Gold
12-4333,Air Force JROTC,TN,190.00,169.00,4.00,363.00,Gold
12-2787,Air Force JROTC,TX,193.80,150.00,17.40,361.20,Gold
12-3729,Air Force JROTC,LA,226.67,130.00,2.80,359.47,Gold
12-6280,Air Force JROTC,LA,210.40,144.00,5.00,359.40,Gold
12-4785,Air Force JROTC,NE,211.00,147.00,0.00,358.00,Gold
12-4395,Air Force JROTC,VA,200.40,150.00,6.40,356.80,Gold
12-1637,Air Force JROTC,AZ,209.33,147.00,0.00,356.33,Gold
12-5024,Air Force JROTC,VA,211.00,133.00,5.00,349.00,Gold
12-5472,Air Force JROTC,NV,190.33,157.00,0.00,347.33,Gold
12-3112,Air Force JROTC,IL,199.07,144.00,4.00,347.07,Gold
12-0242,Air Force JROTC,IN,181.40,160.00,4.00,345.40,Gold
12-3690,Air Force JROTC,OH,183.00,162.00,0.00,345.00,Gold
12-0332,Air Force JROTC,CO,138.00,205.00,0.00,343.00,Gold
12-5963,Air Force JROTC,GA,204.00,130.00,8.00,342.00,Gold
12-3472,Air Force JROTC,AE,151.40,164.00,26.00,341.40,Gold
12-0431,Air Force JROTC,NE,188.73,139.00,12.80,340.53,Gold
12-3601,Air Force JROTC,NV,174.67,160.00,5.60,340.27,Gold
12-3381,Air Force JROTC,OH,214.53,122.00,3.00,339.53,Gold
12-2134,Air Force JROTC,MD,223.00,114.00,2.00,339.00,Gold
12-4318,Air Force JROTC,RI,197.33,139.00,1.00,337.33,Gold
12-3113,Air Force JROTC,IL,183.67,145.00,5.00,333.67,Gold
12-5036,Air Force JROTC,VA,213.87,104.00,5.40,323.27,Gold
12-3600,Air Force JROTC,NV,161.33,156.00,5.00,322.33,Gold
12-0915,Air Force JROTC,OK,191.40,109.00,21.60,322.00,Gold
12-6557,Air Force JROTC,AZ,183.00,135.00,3.00,321.00,Gold
12-7209,Air Force JROTC,CO,186.87,125.00,7.60,319.47,Gold
12-4768,Air Force JROTC,NC,195.00,124.00,0.00,319.00,Gold
12-4971,Air Force JROTC,CA,187.33,122.00,7.00,316.33,Gold
12-3279,Air Force JROTC,IA,189.87,112.00,10.60,312.47,Gold
12-4276,Air Force JROTC,AL,144.33,157.00,9.20,310.53,Gold
12-6383,Air Force JROTC,AK,169.67,136.00,2.00,307.67,Gold
12-3727,Air Force JROTC,LA,176.67,124.00,6.00,306.67,Gold
12-4531,Air Force JROTC,AK,109.67,192.00,4.00,305.67,Gold
12-3281,Air Force JROTC,AL,158.67,147.00,0.00,305.67,Gold
12-3825,Air Force JROTC,TX,178.40,125.00,0.00,303.40,Gold
12-4312,Air Force JROTC,IN,202.00,100.00,0.00,302.00,Gold
12-5507,Air Force JROTC,OK,235.67,61.00,4.00,300.67,Gold
12-6107,Air Force JROTC,WA,162.47,120.00,14.80,297.27,Gold
12-0623,Air Force JROTC,TX,149.00,148.00,0.00,297.00,Gold
12-7485,Air Force JROTC,OH,160.00,133.00,0.00,293.00,Gold
12-1292,Air Force JROTC,GA,174.73,111.00,7.20,292.93,Gold
12-4973,Air Force JROTC,OK,151.00,126.00,12.80,289.80,Gold
12-5506,Air Force JROTC,OK,247.33,40.00,0.00,287.33,Gold
12-2849,Air Force JROTC,MD,143.00,139.00,0.00,282.00,Gold
12-6666,Air Force JROTC,GA,164.67,105.00,10.60,280.27,Gold
12-6451,Air Force JROTC,NY,93.67,179.00,7.00,279.67,Gold
12-0398,Air Force JROTC,OK,120.07,150.00,7.80,277.87,Gold
12-1557,Air Force JROTC,TX,118.67,146.00,5.00,269.67,Gold
12-4714,Air Force JROTC,OH,139.27,106.00,24.00,269.27,Gold
12-3267,Air Force JROTC,TX,266.33,0.00,0.00,266.33,Gold
12-6538,Air Force JROTC,UT,167.40,90.00,5.00,262.40,Gold
12-5943,Air Force JROTC,OH,152.00,107.00,3.00,262.00,Gold
12-5510,Air Force JROTC,AZ,146.00,112.00,3.00,261.00,Gold
12-3172,Air Force JROTC,IL,132.00,124.00,5.00,261.00,Gold
12-0238,Air Force JROTC,IN,121.07,134.00,4.40,259.47,Gold
12-2949,Air Force JROTC,TX,159.00,93.00,7.20,259.20,Gold
12-5025,Air Force JROTC,VA,163.67,92.00,3.00,258.67,Gold
12-6236,Air Force JROTC,MA,143.00,114.00,0.00,257.00,Gold
12-2135,Air Force JROTC,MD,129.67,123.00,4.20,256.87,Gold
12-5175,Air Force JROTC,WA,135.00,116.00,5.00,256.00,Gold
12-6595,Air Force JROTC,FL,113.00,139.00,3.00,255.00,Gold
12-5941,Air Force JROTC,OH,136.33,113.00,5.00,254.33,Gold
12-4168,Air Force JROTC,FL,142.00,110.00,0.00,252.00,Gold
12-3003,Air Force JROTC,FL,125.00,123.00,0.00,248.00,Gold
12-0433,Air Force JROTC,NE,118.00,120.00,9.40,247.40,Gold
12-7468,Air Force JROTC,TX,119.00,125.00,0.00,244.00,Gold
12-4887,Air Force JROTC,LA,131.00,101.00,10.80,242.80,Gold
12-6523,Air Force JROTC,TX,111.00,127.00,0.00,238.00,Gold
12-1972,Air Force JROTC,WA,184.00,53.00,0.00,237.00,Gold
12-4532,Air Force JROTC,AK,45.67,184.00,6.20,235.87,Gold
12-7496,Air Force JROTC,NJ,136.67,89.00,9.80,235.47,Gold
12-6729,Air Force JROTC,TX,114.33,116.00,3.40,233.73,Gold
12-6544,Air Force JROTC,AZ,159.00,74.00,0.00,233.00,Gold
12-0243,Air Force JROTC,NJ,142.00,86.00,5.00,233.00,Gold
12-5090,Air Force JROTC,TX,131.00,99.00,3.00,233.00,Gold
12-1202,Air Force JROTC,VA,99.27,114.00,19.40,232.67,Gold
12-3769,Air Force JROTC,FL,130.00,101.00,0.00,231.00,Gold
12-1170,Air Force JROTC,AE,228.33,0.00,0.00,228.33,Gold
12-4313,Air Force JROTC,RI,149.00,75.00,0.00,224.00,Gold
12-6452,Air Force JROTC,NY,86.73,131.00,5.00,222.73,Gold
12-5476,Air Force JROTC,TX,128.00,93.00,0.00,221.00,Gold
12-6815,Air Force JROTC,HI,115.00,105.00,0.00,220.00,Gold
12-6753,Air Force JROTC,AZ,129.00,90.00,0.00,219.00,Gold
12-0748,Air Force JROTC,AL,118.00,101.00,0.00,219.00,Gold
12-5505,Air Force JROTC,OK,202.67,15.00,0.00,217.67,Gold
12-3805,Air Force JROTC,VA,152.93,45.00,14.00,211.93,Gold
12-4533,Air Force JROTC,AR,208.93,0.00,0.00,208.93,Gold
12-3734,Air Force JROTC,LA,137.33,68.00,3.00,208.33,Gold
12-3268,Air Force JROTC,NC,208.00,0.00,0.00,208.00,Gold
12-5026,Air Force JROTC,VA,96.00,105.00,6.00,207.00,Silver
12-4315,Air Force JROTC,RI,109.00,91.00,0.00,200.00,Silver
12-5252,Air Force JROTC,TX,199.00,0.00,0.00,199.00,Silver
12-6081,Air Force JROTC,MI,141.47,51.00,6.40,198.87,Silver
12-0226,Air Force JROTC,TX,81.07,112.00,5.40,198.47,Silver
12-4883,Air Force JROTC,LA,106.00,89.00,0.00,195.00,Silver
12-5194,Air Force JROTC,CA,0.00,188.00,6.00,194.00,Silver
12-4130,Air Force JROTC,NC,78.00,109.00,4.00,191.00,Silver
12-5932,Air Force JROTC,TX,0.00,185.00,6.00,191.00,Silver
12-4999,Air Force JROTC,CA,165.33,25.00,0.00,190.33,Silver
12-0239,Air Force JROTC,IN,87.33,95.00,5.60,187.93,Silver
12-3583,Air Force JROTC,IL,158.20,29.00,0.00,187.20,Silver
12-5437,Air Force JROTC,IL,111.33,72.00,2.80,186.13,Silver
12-3280,Air Force JROTC,AL,144.67,35.00,6.00,185.67,Silver
12-7290,Air Force JROTC,MO,184.00,0.00,0.00,184.00,Silver
12-0305,Air Force JROTC,AZ,102.00,82.00,0.00,184.00,Silver
12-3637,Air Force JROTC,TX,162.00,18.00,0.00,180.00,Silver
12-6931,Air Force JROTC,IL,0.00,179.00,0.00,179.00,Silver
12-5508,Air Force JROTC,OK,128.67,45.00,5.00,178.67,Silver
12-4242,Air Force JROTC,CA,89.00,88.00,0.00,177.00,Silver
12-4401,Air Force JROTC,SC,113.33,60.00,3.00,176.33,Silver
12-4311,Air Force JROTC,RI,125.00,50.00,0.00,175.00,Silver
12-5254,Air Force JROTC,TX,175.00,0.00,0.00,175.00,Silver
12-1634,Air Force JROTC,AZ,108.00,62.00,5.00,175.00,Silver
12-3032,Air Force JROTC,TX,0.00,159.00,14.40,173.40,Silver
12-5350,Air Force JROTC,NM,0.00,171.00,0.00,171.00,Silver
12-5889,Air Force JROTC,CA,169.67,0.00,0.00,169.67,Silver
12-5888,Air Force JROTC,CA,108.00,60.00,0.00,168.00,Silver
12-3566,Air Force JROTC,PA,100.00,68.00,0.00,168.00,Silver
12-7126,Air Force JROTC,KS,0.00,163.00,4.00,167.00,Silver
12-5253,Air Force JROTC,TX,166.00,0.00,0.00,166.00,Silver
12-5349,Air Force JROTC,NM,0.00,165.00,0.00,165.00,Silver
12-3409,Air Force JROTC,SC,157.33,0.00,0.00,157.33,Silver
12-4400,Air Force JROTC,SC,92.33,60.00,5.00,157.33,Silver
12-3705,Air Force JROTC,AZ,155.00,0.00,0.00,155.00,Silver
12-2298,Air Force JROTC,FL,0.00,155.00,0.00,155.00,Silver
12-6453,Air Force JROTC,NY,0.00,149.00,4.00,153.00,Silver
12-0241,Air Force JROTC,NJ,42.33,93.00,4.00,139.33,Silver
12-5935,Air Force JROTC,CA,111.00,26.00,0.00,137.00,Silver
12-5271,Air Force JROTC,NC,135.00,0.00,0.00,135.00,Silver
12-7281,Air Force JROTC,NM,0.00,126.00,6.00,132.00,Silver
12-0302,Air Force JROTC,AZ,78.00,53.00,0.00,131.00,Silver
12-7014,Air Force JROTC,TX,0.00,130.00,0.00,130.00,Silver
12-3410,Air Force JROTC,SC,123.33,0.00,0.00,123.33,Silver
12-4884,Air Force JROTC,LA,74.00,49.00,0.00,123.00,Silver
12-3859,Air Force JROTC,PA,0.00,108.00,13.80,121.80,Silver
12-5478,Air Force JROTC,KY,118.00,0.00,0.00,118.00,Silver
12-7484,Air Force JROTC,OH,42.00,75.00,0.00,117.00,Silver
12-4145,Air Force JROTC,VA,0.00,114.00,2.00,116.00,Silver
12-5459,Air Force JROTC,NE,0.00,114.00,2.00,116.00,Silver
12-5641,Air Force JROTC,FL,0.00,116.00,0.00,116.00,Silver
12-7486,Air Force JROTC,OH,53.00,62.00,0.00,115.00,Silver
12-5644,Air Force JROTC,FL,0.00,114.00,0.00,114.00,Silver
12-6665,Air Force JROTC,GA,70.00,39.00,3.00,112.00,Silver
12-6911,Air Force JROTC,NY,107.00,0.00,0.00,107.00,Silver
12-2087,Air Force JROTC,WA,62.00,41.00,0.00,103.00,Silver
12-5522,Air Force JROTC,CO,0.00,100.00,0.00,100.00,Silver
12-4316,Air Force JROTC,RI,62.00,38.00,0.00,100.00,Silver
12-7483,Air Force JROTC,OH,44.00,56.00,0.00,100.00,Silver
12-4690,Air Force JROTC,ID,0.00,99.00,0.00,99.00,Silver
12-5783,Air Force JROTC,TX,97.33,0.00,0.00,97.33,Silver
12-3585,Air Force JROTC,IL,0.00,96.00,0.00,96.00,Silver
12-5848,Air Force JROTC,CA,0.00,96.00,0.00,96.00,Silver
12-5668,Air Force JROTC,WA,0.00,95.00,0.00,95.00,Silver
12-6444,Air Force JROTC,OK,0.00,94.00,0.00,94.00,Silver
12-5416,Air Force JROTC,CA,47.33,41.00,0.00,88.33,Silver
12-6524,Air Force JROTC,NM,88.00,0.00,0.00,88.00,Silver
12-6933,Air Force JROTC,IL,88.00,0.00,0.00,88.00,Silver
12-1656,Air Force JROTC,NV,0.00,79.00,6.00,85.00,Silver
12-3479,Air Force JROTC,MA,84.00,0.00,0.00,84.00,Silver
12-5672,Air Force JROTC,WA,0.00,84.00,0.00,84.00,Silver
12-0852,Air Force JROTC,GA,65.00,14.00,0.00,79.00,Silver
12-2266,Air Force JROTC,CA,74.00,0.00,0.00,74.00,Silver
12-6522,Air Force JROTC,NM,73.00,0.00,0.00,73.00,Silver
12-6698,Air Force JROTC,NC,72.67,0.00,0.00,72.67,Silver
12-5874,Air Force JROTC,WA,0.00,70.00,0.00,70.00,Silver
12-4996,Air Force JROTC,NE,41.00,21.00,0.00,62.00,Silver
12-5195,Air Force JROTC,TX,0.00,61.00,0.00,61.00,Silver
12-3308,Air Force JROTC,TX,0.00,52.00,4.00,56.00,Silver
12-4270,Air Force JROTC,TN,0.00,50.00,3.00,53.00,Silver
12-4941,Air Force JROTC,FL,0.00,49.00,4.00,53.00,Silver
12-5679,Air Force JROTC,TX,0.00,52.00,0.00,52.00,Silver
12-0726,Air Force JROTC,DEU,49.00,0.00,0.00,49.00,Silver
12-3550,Air Force JROTC,NY,0.00,46.00,1.00,47.00,Silver
12-6341,Air Force JROTC,OH,0.00,47.00,0.00,47.00,Silver
12-6935,Air Force JROTC,TX,0.00,47.00,0.00,47.00,Silver
12-3496,Air Force JROTC,SC,0.00,37.00,0.00,37.00,Silver
12-5715,Air Force JROTC,CA,0.00,37.00,0.00,37.00,Silver
12-4944,Air Force JROTC,FL,0.00,33.00,0.00,33.00,Silver
12-7482,Air Force JROTC,OH,32.00,0.00,0.00,32.00,Silver
12-4945,Air Force JROTC,FL,0.00,23.00,0.00,23.00,Silver
12-3547,Air Force JROTC,NC,0.00,20.00,0.00,20.00,Silver
12-7319,Air Force JROTC,CA,18.00,0.00,0.00,18.00,Silver
12-3097,Air Force JROTC,FL,0.00,6.00,0.00,6.00,Silver
12-3670,Army JROTC,TX,320.93,300.00,27.60,648.53,Platinum
12-0272,Army JROTC,TX,326.47,296.00,24.60,647.07,Platinum
12-3669,Army JROTC,TX,326.27,296.00,24.00,646.27,Platinum
12-0275,Army JROTC,TX,317.60,284.00,24.20,625.80,Platinum
12-1057,Army JROTC,VA,310.40,300.00,11.60,622.00,Platinum
12-1302,Army JROTC,NC,311.87,274.00,22.40,608.27,Platinum
12-1174,Army JROTC,TX,318.27,261.00,23.80,603.07,Platinum
12-1568,Army JROTC,TX,317.73,259.00,18.00,594.73,Platinum
12-0273,Army JROTC,TX,316.93,253.00,20.40,590.33,Platinum
12-3591,Army JROTC,AZ,305.00,246.00,23.00,574.00,Platinum
12-0990,Army JROTC,CO,308.33,241.00,17.80,567.13,Platinum
12-1109,Army JROTC,TX,286.33,254.00,23.00,563.33,Platinum
12-3108,Army JROTC,AL,291.07,250.00,19.40,560.47,Platinum
12-4963,Army JROTC,TX,276.93,276.00,7.00,559.93,Platinum
12-0278,Army JROTC,TX,313.40,215.00,22.80,551.20,Platinum
12-1866,Army JROTC,FL,285.27,245.00,17.20,547.47,Platinum
12-2439,Army JROTC,AL,294.87,231.00,17.20,543.07,Platinum
12-0290,Army JROTC,AL,296.93,237.00,6.40,540.33,Platinum
12-3603,Army JROTC,HI,279.47,237.00,23.00,539.47,Platinum
12-5495,Army JROTC,NM,280.93,241.00,14.40,536.33,Platinum
12-1470,Army JROTC,FL,283.93,231.00,19.60,534.53,Platinum
12-2928,Army JROTC,HI,291.20,227.00,15.40,533.60,Platinum
12-2955,Army JROTC,CO,276.73,233.00,20.60,530.33,Platinum
12-3714,Army JROTC,AL,273.07,229.00,22.40,524.47,Platinum
12-0985,Army JROTC,CO,289.20,218.00,15.40,522.60,Platinum
12-5492,Army JROTC,NM,270.93,241.00,9.00,520.93,Platinum
12-4405,Army JROTC,AZ,267.73,237.00,11.80,516.53,Platinum
12-3712,Army JROTC,AL,272.47,228.00,15.00,515.47,Platinum
12-0274,Army JROTC,TX,300.40,189.00,24.00,513.40,Platinum
12-3798,Army JROTC,TX,273.27,216.00,19.20,508.47,Platinum
12-1471,Army JROTC,FL,263.40,225.00,18.20,506.60,Platinum
12-4939,Army JROTC,HI,268.40,217.00,17.20,502.60,Platinum
12-6337,Army JROTC,FL,265.40,220.00,7.00,492.40,Platinum
12-1375,Army JROTC,FL,263.00,210.00,18.20,491.20,Platinum
12-0818,Army JROTC,CA,249.73,221.00,20.00,490.73,Platinum
12-2437,Army JROTC,AL,263.33,205.00,19.60,487.93,Platinum
12-2438,Army JROTC,AL,252.07,220.00,14.80,486.87,Platinum
12-4952,Army JROTC,FL,258.13,216.00,11.00,485.13,Platinum
12-2700,Army JROTC,HI,261.00,214.00,9.00,484.00,Platinum
12-6335,Army JROTC,FL,244.53,217.00,21.40,482.93,Platinum
12-0879,Army JROTC,GA,245.87,214.00,18.60,478.47,Platinum
12-1269,Army JROTC,MI,266.93,208.00,3.00,477.93,Platinum
12-2699,Army JROTC,HI,250.00,220.00,6.00,476.00,Platinum
12-3375,Army JROTC,TX,239.00,232.00,0.00,471.00,Platinum
12-0908,Army JROTC,RI,231.67,233.00,6.00,470.67,Platinum
12-1586,Army JROTC,TX,252.00,214.00,4.60,470.60,Platinum
12-3098,Army JROTC,WY,259.00,182.00,18.80,459.80,Platinum
