OPEN and ALL Service Divisions,,,,,,,
MAXIMUM SCORE = 400,,,,,,,
Raw Cisco Quiz of 30 = 30 ,,,,,Total Cisco Score = 100,,
Packet Tracer Score =70 Weighted,,,,,Total CCS Image Score = 300,,
Team #,Division / Category,Location,Tier,Round Network Security (Images),Round Cisco Networking ,Cumulative,Advancement
12-0225,Air Force JROTC,TX,Platinum,122,50.11,172.11,Does Not Advance
12-0226,Air Force JROTC,TX,Silver,77,37.28,114.28,Advances to Semifinals
12-0229,Open,CA,Gold,84,21,105,Does Not Advance
12-0230,Army JROTC,OK,Gold,69,35.86,104.86,Does Not Advance
12-0231,Open,NV,Silver,103,47.32,150.32,Advances to Semifinals
12-0232,Open,NV,Silver,26,17.25,43.25,Does Not Advance
12-0236,Open,OK,Gold,190,67.78,257.78,Advances to Semifinals
12-0237,Open,OK,Silver,51,0,51,Does Not Advance
12-0238,Air Force JROTC,IN,Gold,61,32.64,93.64,Does Not Advance
12-0239,Air Force JROTC,IN,Silver,32,15.75,47.75,Does Not Advance
12-0240,Air Force JROTC,IN,Platinum,102,46.72,148.72,Does Not Advance
12-0242,Air Force JROTC,IN,Gold,75,34.64,109.64,Does Not Advance
12-0243,Air Force JROTC,NJ,Gold,13,0,13,Does Not Advance
12-0244,Air Force JROTC,CA,Platinum,211,90.01,301.01,Advances to Semifinals
12-0245,Air Force JROTC,CA,Platinum,208,56.11,264.11,Advances to Semifinals
12-0246,Air Force JROTC,CA,Platinum,150,27.5,177.5,Does Not Advance
12-0247,Air Force JROTC,CA,Platinum,78,45.71,123.71,Does Not Advance
12-0249,Open,CA,Silver,61,21.75,82.75,Does Not Advance
12-0250,Civil Air Patrol,AL,Gold,101,11,112,Does Not Advance
12-0251,Civil Air Patrol,AL,Gold,46,5,51,Does Not Advance
12-0252,Open,RI,Platinum,207,88.67,295.67,Advances to Semifinals
12-0253,Army JROTC,CO,Gold,99,35.64,134.64,Advances to Semifinals
12-0254,Open,CO,Gold,93,46.01,139.01,Does Not Advance
12-0255,Army JROTC,FL,Gold,80,54.76,134.76,Advances to Semifinals
12-0256,Open,RI,Platinum,210,66.14,276.14,Advances to Semifinals
12-0257,Open,RI,Platinum,185,40.68,225.68,Does Not Advance
12-0258,Open,RI,Gold,52,48.64,100.64,Does Not Advance
12-0259,Open,CO,Gold,120,40.68,160.68,Does Not Advance
12-0260,Open,CO,Platinum,129,51.71,180.71,Does Not Advance
12-0261,Open,CO,Gold,81,14,95,Does Not Advance
12-0263,Civil Air Patrol,NC,Platinum,140,51.03,191.03,Does Not Advance
12-0264,Air Force JROTC,GA,Platinum,80,45.38,125.38,Does Not Advance
12-0265,Open,VA,Gold,137,59.78,196.78,Advances to Semifinals
12-0266,Open,VA,Gold,157,21,178,Does Not Advance
12-0272,Army JROTC,TX,Platinum,193,70.5,263.5,Advances to Semifinals
12-0273,Army JROTC,TX,Platinum,84,59.76,143.76,Does Not Advance
12-0274,Army JROTC,TX,Platinum,129,64.84,193.84,Does Not Advance
12-0275,Army JROTC,TX,Platinum,160,58.46,218.46,Advances to Semifinals
12-0276,Air Force JROTC,OK,Platinum,56,51.71,107.71,Does Not Advance
12-0277,Air Force JROTC,OK,Platinum,95,52.21,147.21,Does Not Advance
12-0278,Army JROTC,TX,Platinum,124,66.82,190.82,Does Not Advance
12-0286,Open,ME,Silver,70,83.76,153.76,Advances to Semifinals
12-0288,Open,MA,Platinum,205,68.21,273.21,Advances to Semifinals
12-0290,Army JROTC,AL,Platinum,150,24,174,Does Not Advance
12-0291,Civil Air Patrol,IN,Silver,35,77.26,112.26,Advances to Semifinals
12-0294,Open,WA,Platinum,140,54.14,194.14,Does Not Advance
12-0296,Open,OK,Gold,111,32.36,143.36,Does Not Advance
12-0298,Open,OK,Platinum,135,50.72,185.72,Does Not Advance
12-0299,Open,FL,Platinum,204,62.11,266.11,Advances to Semifinals
12-0300,Open,FL,Platinum,170,61.43,231.43,Does Not Advance
12-0302,Air Force JROTC,AZ,Silver,4,0,4,Does Not Advance
12-0303,Open,FL,Gold,152,44.43,196.43,Advances to Semifinals
12-0305,Air Force JROTC,AZ,Silver,17,0,17,Does Not Advance
12-0306,Open,FL,Gold,107,64.8,171.8,Does Not Advance
12-0308,Air Force JROTC,AZ,Gold,30,0,30,Does Not Advance
12-0309,Civil Air Patrol,MI,Platinum,131,60.09,191.09,Does Not Advance
12-0313,Civil Air Patrol,MI,Platinum,130,65.46,195.46,Advances to Semifinals
12-0314,Navy JROTC,CA,Platinum,54,43.01,97.01,Does Not Advance
12-0316,Navy JROTC,CA,Gold,42,39.01,81.01,Does Not Advance
12-0317,Civil Air Patrol,MA,Platinum,125,24,149,Does Not Advance
12-0318,Army JROTC,TX,Gold,34,5,39,Does Not Advance
12-0320,Air Force JROTC,MI,Gold,43,42.5,85.5,Does Not Advance
12-0322,Open,TX,Platinum,151,58.07,209.07,Does Not Advance
12-0323,Open,TX,Gold,114,38.51,152.51,Does Not Advance
12-0324,Open,TX,Gold,72,12,84,Does Not Advance
12-0325,Open,TX,Silver,56,0,56,Does Not Advance
12-0326,Civil Air Patrol,CO,Platinum,93,16.5,109.5,Does Not Advance
12-0327,Open,TX,Silver,185,21.75,206.75,Advances to Semifinals
12-0330,Open,CO,Gold,107,64.25,171.25,Does Not Advance
12-0331,Open,CO,Gold,138,47.42,185.42,Advances to Semifinals
12-0332,Air Force JROTC,CO,Gold,133,0,133,Advances to Semifinals
12-0333,Open,AL,Platinum,148,55.13,203.13,Does Not Advance
12-0334,Navy JROTC,CA,Platinum,80,12,92,Does Not Advance
12-0335,Open,AL,Gold,120,54.8,174.8,Does Not Advance
12-0336,Open,AL,Gold,112,37.72,149.72,Does Not Advance
12-0337,Navy JROTC,CA,Gold,98,0,98,Does Not Advance
12-0338,Navy JROTC,CA,Gold,42,0,42,Does Not Advance
12-0339,Navy JROTC,CA,Gold,58,8,66,Does Not Advance
12-0341,Navy JROTC,CA,Platinum,99,51.05,150.05,Does Not Advance
12-0343,Open,RI,Gold,134,56.46,190.46,Advances to Semifinals
12-0345,Civil Air Patrol,KY,Silver,18,0,18,Does Not Advance
12-0346,Open,TX,Gold,118,41.64,159.64,Does Not Advance
12-0347,Civil Air Patrol,KY,Silver,3,0,3,Does Not Advance
12-0352,Civil Air Patrol,SD,Platinum,229,63.46,292.46,Advances to Semifinals
12-0354,Civil Air Patrol,IN,Silver,64,0,64,Advances to Semifinals
12-0355,Civil Air Patrol,SD,Gold,41,13,54,Does Not Advance
12-0366,Open,RI,Gold,91,38.64,129.64,Does Not Advance
12-0367,Open,CO,Platinum,132,93.38,225.38,Does Not Advance
12-0368,Open,RI,Gold,126,45.64,171.64,Does Not Advance
12-0369,Open,RI,Platinum,135,42.64,177.64,Does Not Advance
12-0370,Open,CO,Platinum,227,88.01,315.01,Advances to Semifinals
12-0371,Open,RI,Gold,144,20,164,Does Not Advance
12-0372,Open,CO,Platinum,156,67.55,223.55,Does Not Advance
12-0373,Civil Air Patrol,TX,Platinum,131,52.01,183.01,Does Not Advance
12-0374,Open,CO,Platinum,123,49.72,172.72,Does Not Advance
12-0377,Open,CA,Gold,85,54.71,139.71,Does Not Advance
12-0378,Open,CA,Silver,26,55.42,81.42,Does Not Advance
12-0379,Open,CA,Gold,73,10.5,83.5,Does Not Advance
12-0380,Open,CA,Gold,79,16.5,95.5,Does Not Advance
12-0381,Open,CA,Platinum,149,70.17,219.17,Does Not Advance
12-0382,Open,CA,Gold,99,11,110,Does Not Advance
12-0383,Open,CA,Gold,151,43.84,194.84,Advances to Semifinals
12-0384,Open,CA,Platinum,117,62.68,179.68,Does Not Advance
12-0385,Open,CA,Platinum,165,59.86,224.86,Does Not Advance
12-0386,Open,CA,Platinum,212,58.07,270.07,Advances to Semifinals
12-0388,Open,CA,Platinum,123,58.28,181.28,Does Not Advance
12-0389,Open,CA,Platinum,131,49.96,180.96,Does Not Advance
12-0390,Open,CA,Platinum,156,45.64,201.64,Does Not Advance
12-0394,Open,AZ,Platinum,128,42.39,170.39,Does Not Advance
12-0395,Open,AZ,Gold,98,20.97,118.97,Does Not Advance
12-0397,Air Force JROTC,OK,Platinum,55,51.05,106.05,Does Not Advance
12-0398,Air Force JROTC,OK,Gold,61,15,76,Does Not Advance
12-0399,Civil Air Patrol,OR,Gold,79,22.5,101.5,Does Not Advance
12-0400,Open,HI,Gold,68,18,86,Does Not Advance
12-0405,Open,NV,Gold,108,36.97,144.97,Does Not Advance
12-0406,Open,NV,Gold,124,57.47,181.47,Does Not Advance
12-0407,Open,NV,Gold,92,60.67,152.67,Does Not Advance
12-0408,Open,NV,Gold,131,44.17,175.17,Does Not Advance
12-0409,Open,NV,Gold,77,26.64,103.64,Does Not Advance
12-0411,Civil Air Patrol,MN,Platinum,136,54.82,190.82,Does Not Advance
12-0416,Civil Air Patrol,OR,Silver,94,0,94,Advances to Semifinals
12-0417,Air Force JROTC,WA,Platinum,82,20,102,Does Not Advance
12-0418,Open,CA,Platinum,122,50.88,172.88,Does Not Advance
12-0419,Open,CA,Platinum,150,0,150,Does Not Advance
12-0420,Open,CA,Platinum,147,17.5,164.5,Does Not Advance
12-0421,Open,CA,Platinum,150,47.55,197.55,Does Not Advance
12-0422,Open,CA,Platinum,170,89.03,259.03,Advances to Semifinals
12-0423,Civil Air Patrol,MD,Gold,65,17,82,Does Not Advance
12-0425,Civil Air Patrol,MD,Platinum,163,50.53,213.53,Advances to Semifinals
12-0427,Civil Air Patrol,MI,Silver,35,0,35,Does Not Advance
12-0428,Open,TN,Gold,113,31.34,144.34,Does Not Advance
12-0429,Open,TN,Gold,138,48.14,186.14,Advances to Semifinals
12-0430,Air Force JROTC,NE,Platinum,137,66.88,203.88,Advances to Semifinals
12-0431,Air Force JROTC,NE,Gold,66,49.72,115.72,Does Not Advance
12-0433,Air Force JROTC,NE,Gold,18,38.32,56.32,Does Not Advance
12-0434,Civil Air Patrol,AZ,Platinum,120,53.03,173.03,Does Not Advance
12-0435,Civil Air Patrol,CA,Gold,83,54.05,137.05,Advances to Semifinals
12-0436,Civil Air Patrol,MD,Gold,61,0,61,Does Not Advance
12-0437,Civil Air Patrol,MD,Gold,30,13,43,Does Not Advance
12-0443,Open,NY,Platinum,140,14,154,Does Not Advance
12-0444,Air Force JROTC,CA,Platinum,144,63.36,207.36,Advances to Semifinals
12-0446,Open,CA,Gold,99,39.34,138.34,Does Not Advance
12-0447,Open,CA,Gold,56,94.72,150.72,Does Not Advance
12-0448,Open,CA,Gold,113,56.64,169.64,Does Not Advance
12-0451,Civil Air Patrol,AZ,Platinum,147,63.76,210.76,Advances to Semifinals
12-0457,Open,MI,Silver,87,9.75,96.75,Does Not Advance
12-0458,Open,MI,Silver,91,34.98,125.98,Advances to Semifinals
12-0459,Open,MI,Silver,97,67.3,164.3,Advances to Semifinals
12-0461,Civil Air Patrol,CA,Platinum,161,0,161,Does Not Advance
12-0462,Open,MO,Platinum,237,83.67,320.67,Advances to Semifinals
12-0463,Open,MO,Platinum,231,92.03,323.03,Advances to Semifinals
12-0464,Open,MO,Platinum,216,93.38,309.38,Advances to Semifinals
12-0467,Open,GA,Gold,94,36.01,130.01,Does Not Advance
12-0468,Open,GA,Gold,83,42.64,125.64,Does Not Advance
12-0469,Open,GA,Platinum,157,53.05,210.05,Does Not Advance
12-0470,Open,GA,Platinum,91,57.75,148.75,Does Not Advance
12-0471,Open,GA,Platinum,210,73.71,283.71,Advances to Semifinals
12-0472,Open,HI,Platinum,214,85.3,299.3,Advances to Semifinals
12-0476,Open,MD,Platinum,155,70.86,225.86,Does Not Advance
12-0477,Open,MD,Gold,142,47,189,Advances to Semifinals
12-0478,Open,MD,Gold,79,41.36,120.36,Does Not Advance
12-0479,Open,MD,Silver,44,0,44,Does Not Advance
12-0480,Open,OK,Platinum,221,91.38,312.38,Advances to Semifinals
12-0494,Open,FL,Gold,122,42.36,164.36,Does Not Advance
12-0495,Open,FL,Gold,122,45.5,167.5,Does Not Advance
12-0496,Open,FL,Gold,127,49.72,176.72,Does Not Advance
12-0497,Open,FL,Gold,96,34.34,130.34,Does Not Advance
12-0501,Open,VA,Gold,181,47,228,Advances to Semifinals
12-0502,Open,VA,Silver,14,12,26,Does Not Advance
12-0503,Army JROTC,LA,Gold,139,43.93,182.93,Advances to Semifinals
12-0504,Open,CO,Platinum,Withheld,Withheld,0,Registration Action Required
12-0505,Open,CO,Silver,Withheld,Withheld,0,Registration Action Required
12-0507,Open,NJ,Platinum,156,63.46,219.46,Does Not Advance
12-0509,Open,NJ,Platinum,139,55.75,194.75,Does Not Advance
12-0510,Open,NJ,Gold,122,43.01,165.01,Does Not Advance
12-0511,Open,NJ,Platinum,133,58.43,191.43,Does Not Advance
12-0512,Open,NJ,Platinum,152,53.72,205.72,Does Not Advance
12-0513,Open,MO,Silver,96,84.27,180.27,Advances to Semifinals
12-0514,Open,VA,Gold,152,25.5,177.5,Does Not Advance
12-0515,Open,TX,Platinum,94,53.09,147.09,Does Not Advance
12-0516,Open,TX,Gold,113,52.59,165.59,Does Not Advance
12-0517,Open,CA,Gold,116,0,116,Does Not Advance
12-0518,Open,OR,Gold,119,41.97,160.97,Does Not Advance
12-0519,Open,OR,Gold,79,50.39,129.39,Does Not Advance
12-0521,Open,PA,Silver,75,21.75,96.75,Does Not Advance
12-0522,Open,PA,Gold,91,51.34,142.34,Does Not Advance
12-0523,Open,NC,Silver,51,14.25,65.25,Does Not Advance
12-0524,Open,NC,Silver,36,17.25,53.25,Does Not Advance
12-0525,Army JROTC,FL,Silver,32,21.75,53.75,Does Not Advance
12-0529,Open,MD,Platinum,139,62.47,201.47,Does Not Advance
12-0530,Open,MD,Platinum,174,65.11,239.11,Does Not Advance
12-0531,Open,MD,Platinum,74,52.68,126.68,Does Not Advance
12-0532,Navy JROTC,CA,Platinum,44,0,44,Does Not Advance
12-0534,Open,MD,Gold,130,59.78,189.78,Advances to Semifinals
12-0536,Open,MI,Gold,168,73.92,241.92,Advances to Semifinals
12-0537,Open,MI,Platinum,134,60.68,194.68,Does Not Advance
12-0538,Air Force JROTC,MS,Platinum,118,53.36,171.36,Does Not Advance
12-0539,Open,MI,Gold,142,42.32,184.32,Advances to Semifinals
12-0540,Open,CA,Platinum,185,71.07,256.07,Advances to Semifinals
12-0541,Open,CA,Platinum,167,66.82,233.82,Does Not Advance
12-0542,Open,CA,Gold,120,24,144,Does Not Advance
12-0543,Open,CA,Platinum,87,63.14,150.14,Does Not Advance
12-0544,Open,CA,Gold,65,56.42,121.42,Does Not Advance
12-0545,Open,CA,Gold,50,6.5,56.5,Does Not Advance
12-0556,Civil Air Patrol,SC,Gold,24,27.64,51.64,Does Not Advance
12-0557,Open,VA,Silver,2,70.61,72.61,Does Not Advance
12-0559,Civil Air Patrol,SC,Silver,12,29.11,41.11,Does Not Advance
12-0560,Open,MO,Gold,83,40.14,123.14,Does Not Advance
12-0562,Open,GA,Gold,120,53.55,173.55,Does Not Advance
12-0563,Open,GA,Gold,105,64.36,169.36,Does Not Advance
12-0565,Open,IL,Platinum,147,44.72,191.72,Does Not Advance
12-0566,Open,GA,Platinum,170,66.46,236.46,Does Not Advance
12-0567,Open,IL,Platinum,217,89.34,306.34,Advances to Semifinals
12-0569,Air Force JROTC,VA,Platinum,122,37.8,159.8,Does Not Advance
12-0570,Open,TX,Platinum,142,55.07,197.07,Does Not Advance
12-0571,Open,TX,Gold,125,43.89,168.89,Does Not Advance
12-0572,Open,TX,Platinum,135,46.32,181.32,Does Not Advance
12-0574,Open,TX,Gold,120,63.03,183.03,Advances to Semifinals
12-0575,Open,CA,Gold,44,9,53,Does Not Advance
12-0577,Open,CA,Silver,4,0,4,Does Not Advance
12-0578,Open,CA,Silver,12,0,12,Does Not Advance
12-0579,Open,CA,Silver,7,15.75,22.75,Does Not Advance
12-0580,Air Force JROTC,UT,Platinum,55,78.61,133.61,Does Not Advance
12-0581,Civil Air Patrol,NE,Platinum,Withheld,Withheld,0,Registration Action Required
12-0583,Navy JROTC,KY,Gold,80,58.71,138.71,Advances to Semifinals
12-0584,Open,UT,Silver,41,15.75,56.75,Does Not Advance
12-0585,Open,UT,Silver,43,0,43,Does Not Advance
12-0586,Open,TX,Gold,51,52.89,103.89,Does Not Advance
12-0587,Open,TX,Platinum,107,62.46,169.46,Does Not Advance
12-0589,Open,CAN,Platinum,142,74.92,216.92,Does Not Advance
12-0590,Open,CAN,Platinum,205,65.82,270.82,Advances to Semifinals
12-0591,Open,CAN,Gold,116,54.03,170.03,Does Not Advance
12-0592,Open,VA,Platinum,187,88.67,275.67,Advances to Semifinals
12-0593,Open,VA,Gold,159,42.03,201.03,Advances to Semifinals
12-0601,Open,VA,Gold,117,51.72,168.72,Does Not Advance
12-0602,Open,UT,Silver,80,35.86,115.86,State Wildcard
12-0603,Open,UT,Platinum,152,57.09,209.09,State Wildcard
12-0604,Open,VA,Gold,96,38.68,134.68,Does Not Advance
12-0605,Open,UT,Silver,34,0,34,Does Not Advance
12-0606,Open,VA,Gold,122,92.03,214.03,Advances to Semifinals
12-0608,Open,AZ,Gold,143,49.22,192.22,Advances to Semifinals
12-0621,Navy JROTC,TX,Platinum,51,48.5,99.5,Does Not Advance
12-0622,Navy JROTC,TX,Gold,11,9,20,Does Not Advance
12-0623,Air Force JROTC,TX,Gold,52,0,52,Does Not Advance
12-0624,Navy JROTC,TX,Gold,84,36.64,120.64,Does Not Advance
12-0625,Open,AR,Silver,112,67.54,179.54,Advances to Semifinals
12-0626,Open,AZ,Gold,110,45.34,155.34,Does Not Advance
12-0628,Civil Air Patrol,WY,Gold,80,0,80,Does Not Advance
12-0629,Open,HI,Platinum,132,60.76,192.76,Does Not Advance
12-0631,Civil Air Patrol,IL,Platinum,191,64.11,255.11,Advances to Semifinals
12-0632,Air Force JROTC,WV,Gold,60,39.5,99.5,Does Not Advance
12-0633,Army JROTC,TX,Silver,33,0,33,Does Not Advance
12-0634,Civil Air Patrol,VA,Silver,36,20.05,56.05,Does Not Advance
12-0635,Civil Air Patrol,VA,Platinum,163,36.8,199.8,Advances to Semifinals
12-0636,Navy JROTC,WA,Gold,64,26.32,90.32,Does Not Advance
12-0637,Navy JROTC,WA,Platinum,64,11,75,Does Not Advance
12-0638,Navy JROTC,WA,Gold,54,0,54,Does Not Advance
12-0639,Open,WI,Gold,113,42.01,155.01,Does Not Advance
12-0640,Open,WI,Platinum,175,65.22,240.22,Does Not Advance
12-0642,Open,FL,Gold,92,13,105,Does Not Advance
